sale_id,ganancia_total,n_productos,categoria_principal,n_categorias,precio_promedio,genero_principal,marca_principal,catalog_price_prom,desc_promedio,desc_maximo,hubo_descuento,tramo_descuento,channel,country,en_campana,campana_activa,age_range,mes,dia_semana,es_fin_semana,sale_date,costo_promedio,margen_pct
147,173.01999999999998,3,T-Shirts,3,36.67333333333333,Female,Tiva,36.67333333333333,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,36-45,5,5,1,2025-05-17,18.853333333333335,0.4859
151,181.07,3,Pants,2,46.973333333333336,Female,Tiva,46.973333333333336,0.0,0.0,0,sin_descuento,E-commerce,France,1,Easter Promotion,46-55,4,0,0,2025-04-14,27.070000000000004,0.4237
152,198.38,3,Shoes,2,39.22,Female,Tiva,39.22,0.0,0.0,0,sin_descuento,App Mobile,France,1,Spring Flash Sale,36-45,4,5,1,2025-04-05,21.173333333333336,0.4601
154,151.20999999999998,3,Sleepwear,3,42.949999999999996,Female,Tiva,42.949999999999996,0.0,0.0,0,sin_descuento,E-commerce,France,0,Sin campaña,16-25,4,1,0,2025-04-22,28.78333333333333,0.3298
155,96.25999999999999,3,Sleepwear,3,37.40333333333333,Female,Tiva,41.56,0.10000000000000002,0.1,1,medio,E-commerce,Germany,1,Spring Flash Sale,36-45,4,6,1,2025-04-06,26.53,0.2907
156,153.20999999999998,3,T-Shirts,2,42.25333333333333,Female,Tiva,42.25333333333333,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,TIVA Week,46-55,5,5,1,2025-05-24,26.153333333333332,0.381
158,181.43,3,Dresses,2,49.526666666666664,Female,Tiva,49.526666666666664,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Easter Promotion,26-35,4,6,1,2025-04-13,26.586666666666662,0.4632
160,338.28999999999996,3,T-Shirts,2,63.03666666666666,Female,Tiva,63.03666666666666,0.0,0.0,0,sin_descuento,App Mobile,France,0,Sin campaña,56-65,4,4,0,2025-04-25,30.856666666666666,0.5105
161,198.14,3,T-Shirts,2,46.51,Female,Tiva,46.51,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,16-25,4,5,1,2025-04-26,31.45,0.3238
163,282.48,3,T-Shirts,2,56.26,Female,Tiva,56.26,0.0,0.0,0,sin_descuento,App Mobile,France,1,TIVA Week,56-65,5,1,0,2025-05-20,30.676666666666666,0.4547
164,299.81,3,Pants,3,56.49666666666667,Female,Tiva,56.49666666666667,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,16-25,4,3,0,2025-04-17,29.233333333333334,0.4826
165,142.86,3,Sleepwear,2,51.45333333333334,Female,Tiva,51.45333333333334,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,TIVA Week,46-55,5,2,0,2025-05-28,27.643333333333334,0.4627
166,233.2,3,Shoes,3,43.156666666666666,Female,Tiva,43.156666666666666,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,June Price Drop,36-45,6,3,0,2025-06-05,23.723333333333333,0.4503
167,285.6,3,Dresses,3,57.82,Female,Tiva,57.82,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,Mid-Season Clearance,16-25,5,6,1,2025-05-18,32.45666666666667,0.4387
168,196.07999999999998,3,Pants,3,57.23,Female,Tiva,57.23,0.0,0.0,0,sin_descuento,App Mobile,Portugal,1,Spring Flash Sale,46-55,4,4,0,2025-04-04,34.973333333333336,0.3889
171,228.86,3,Shoes,3,58.333333333333336,Female,Tiva,58.333333333333336,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,Easter Promotion,26-35,4,1,0,2025-04-15,32.07666666666666,0.4501
172,25.069999999999997,3,Pants,3,22.256666666666664,Female,Tiva,31.793333333333333,0.3,0.3,1,alto,App Mobile,Spain,1,Mid-Season Clearance,16-25,5,1,0,2025-05-13,17.67,0.2061
173,220.06,3,T-Shirts,3,50.203333333333326,Female,Tiva,50.203333333333326,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,36-45,5,3,0,2025-05-15,29.596666666666664,0.4105
175,174.38,3,T-Shirts,3,56.63666666666666,Female,Tiva,56.63666666666666,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,26-35,4,4,0,2025-04-18,27.573333333333334,0.5132
179,231.48,3,Sleepwear,2,57.48333333333333,Female,Tiva,57.48333333333333,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,TIVA Week,26-35,5,3,0,2025-05-29,33.21,0.4223
180,71.41,3,T-Shirts,2,42.79333333333333,Female,Tiva,42.79333333333333,0.0,0.0,0,sin_descuento,App Mobile,Spain,1,Early Summer Deals,36-45,6,4,0,2025-06-13,26.64333333333333,0.3774
181,308.5,3,Dresses,3,63.35,Female,Tiva,63.35,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,Mother's Day Campaign,16-25,5,1,0,2025-05-06,35.79333333333333,0.435
183,59.36,3,Shoes,3,53.81,Female,Tiva,53.81,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,Mid-Season Clearance,26-35,5,4,0,2025-05-16,34.02333333333333,0.3677
184,164.28,3,Sleepwear,3,45.25333333333333,Female,Tiva,45.25333333333333,0.0,0.0,0,sin_descuento,E-commerce,Spain,0,Sin campaña,46-55,4,4,0,2025-04-18,26.333333333333332,0.4181
188,228.32999999999998,3,Sleepwear,2,52.25,Female,Tiva,52.25,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Spring Flash Sale,46-55,4,5,1,2025-04-05,28.94,0.4461
189,181.79,3,Dresses,3,32.34666666666667,Female,Tiva,32.34666666666667,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,0,Sin campaña,56-65,4,4,0,2025-04-25,16.22,0.4986
190,138.13,3,T-Shirts,3,56.326666666666675,Female,Tiva,56.326666666666675,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,Early Summer Deals,46-55,6,1,0,2025-06-17,32.556666666666665,0.422
191,143.64,3,T-Shirts,3,52.49,Female,Tiva,52.49,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,TIVA Week,46-55,5,4,0,2025-05-23,29.836666666666662,0.4316
193,209.5,3,Dresses,2,44.333333333333336,Female,Tiva,44.333333333333336,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,Mid-Season Clearance,46-55,5,6,1,2025-05-18,24.873333333333335,0.4389
195,317.56,3,Sleepwear,2,54.4,Female,Tiva,54.4,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,26-35,5,1,0,2025-05-20,28.653333333333332,0.4733
198,232.75,3,Sleepwear,2,46.07666666666666,Female,Tiva,46.07666666666666,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,56-65,4,2,0,2025-04-23,22.676666666666666,0.5078
199,32.18,3,Sleepwear,2,36.25666666666667,Female,Tiva,51.79333333333333,0.3,0.3,1,alto,App Mobile,Netherlands,1,Mid-Season Clearance,26-35,5,0,0,2025-05-19,27.993333333333336,0.2279
200,156.84,3,Pants,3,40.07666666666667,Female,Tiva,40.07666666666667,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,Spring Flash Sale,36-45,4,5,1,2025-04-05,21.05666666666667,0.4746
201,225.17,3,Pants,3,46.22666666666667,Female,Tiva,46.22666666666667,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,TIVA Week,36-45,5,1,0,2025-05-27,25.843333333333334,0.4409
202,261.44,3,T-Shirts,2,49.653333333333336,Female,Tiva,49.653333333333336,0.0,0.0,0,sin_descuento,App Mobile,France,1,TIVA Week,26-35,5,2,0,2025-05-28,26.52,0.4659
204,85.3,3,Shoes,3,54.23333333333333,Female,Tiva,54.23333333333333,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,June Price Drop,16-25,6,3,0,2025-06-05,31.11,0.4264
207,194.86,3,Dresses,3,57.88,Female,Tiva,57.88,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Mid-Season Clearance,26-35,5,3,0,2025-05-15,33.61333333333334,0.4193
